"Bldg. #","Building Name","Room #","Area","Room Use","Organization Name"
"Total Area","103783.352"
"Total Rooms","552"
"800","4-H HEADQUARTERS","1202","129.88","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"429","A. JAMES CLARK HALL","1228","252.23","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"429","A. JAMES CLARK HALL","2218","242.33","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"429","A. JAMES CLARK HALL","3105","186.18","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"429","A. JAMES CLARK HALL","4105","186.18","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"429","A. JAMES CLARK HALL","5105","186.18","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"429","A. JAMES CLARK HALL","6103","35.68","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"429","A. JAMES CLARK HALL","6103A","116.43","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"429","A. JAMES CLARK HALL","6103B","41.44","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"429","A. JAMES CLARK HALL","6103C","123.24","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"115","A.V. WILLIAMS BUILDING","1104","148.23","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"115","A.V. WILLIAMS BUILDING","1240","152.62","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"115","A.V. WILLIAMS BUILDING","1304","152.93","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"115","A.V. WILLIAMS BUILDING","1402","152.99","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"115","A.V. WILLIAMS BUILDING","2108","148.23","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"115","A.V. WILLIAMS BUILDING","2242","152.62","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"115","A.V. WILLIAMS BUILDING","2304","160.04","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"115","A.V. WILLIAMS BUILDING","2420","156.12","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"115","A.V. WILLIAMS BUILDING","3110","148.2","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"115","A.V. WILLIAMS BUILDING","3244","152.62","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"115","A.V. WILLIAMS BUILDING","3304","151.71","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"115","A.V. WILLIAMS BUILDING","3430","162","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"115","A.V. WILLIAMS BUILDING","4104","148.23","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"115","A.V. WILLIAMS BUILDING","4428","147.41","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"142","ANIMAL SCIENCES/AGRIC. ENGRG B","0528","149.63","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"142","ANIMAL SCIENCES/AGRIC. ENGRG B","0531","172.95","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"142","ANIMAL SCIENCES/AGRIC. ENGRG B","1143","202.08","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"142","ANIMAL SCIENCES/AGRIC. ENGRG B","2143","197.33","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"142","ANIMAL SCIENCES/AGRIC. ENGRG B","4143","197.33","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"142","ANIMAL SCIENCES/AGRIC. ENGRG B","4143A","61.22","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"142","ANIMAL SCIENCES/AGRIC. ENGRG B","4143B","16.19","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"008","ANNAPOLIS HALL","1103","208.21","030I MENS RESTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"060","ANNE ARUNDEL HALL","0110","135.16","030I MENS RESTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"145","ARCHITECTURE BUILDING","0103","155.15","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"145","ARCHITECTURE BUILDING","0200","108.88","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"145","ARCHITECTURE BUILDING","1113","106.52","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"145","ARCHITECTURE BUILDING","1202","158.94","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"749","ART HOUGHTON JR. OFFICE LAB","1145","193.57","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"749","ART HOUGHTON JR. OFFICE LAB","1145A","60.36","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"813","ARTEMESIA BUILDING","1141","125.62","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"813","ARTEMESIA BUILDING","2254","23.22","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"813","ARTEMESIA BUILDING","2254A","103.66","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"813","ARTEMESIA BUILDING","3354","23.22","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"813","ARTEMESIA BUILDING","3354A","103.66","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"219","ASTRONOMY LECTURE BUILDING","1100C","61.67","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"224","ATLANTIC BUILDING","0221","96.9","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"224","ATLANTIC BUILDING","0303","92.51","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"224","ATLANTIC BUILDING","1221","96.9","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"224","ATLANTIC BUILDING","1325","131.19","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"224","ATLANTIC BUILDING","1438","171.47","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"224","ATLANTIC BUILDING","2221","115.82","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"224","ATLANTIC BUILDING","2325","131.19","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"224","ATLANTIC BUILDING","2442","177.22","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"224","ATLANTIC BUILDING","3221","96.9","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"224","ATLANTIC BUILDING","3325","131.19","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"224","ATLANTIC BUILDING","3442","177.22","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"224","ATLANTIC BUILDING","4221","96.9","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"224","ATLANTIC BUILDING","4325","131.19","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"224","ATLANTIC BUILDING","4452","177.22","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"795","AVRUM GUDELSKY VETERINARY CENT","1135","40","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"795","AVRUM GUDELSKY VETERINARY CENT","1135A","196.58","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"795","AVRUM GUDELSKY VETERINARY CENT","1135B","35.06","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"795","AVRUM GUDELSKY VETERINARY CENT","1135C","99.94","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"795","AVRUM GUDELSKY VETERINARY CENT","1212","152.72","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"795","AVRUM GUDELSKY VETERINARY CENT","1431","154.75","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"795","AVRUM GUDELSKY VETERINARY CENT","1431A","77.31","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"143","BENJAMIN BUILDING","0310","161.96","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"143","BENJAMIN BUILDING","1118","162.19","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"143","BENJAMIN BUILDING","2310","162.79","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"143","BENJAMIN BUILDING","3118","163.1","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"144","BIOLOGY-PSYCHOLOGY BUILDING","0117","169.46","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"144","BIOLOGY-PSYCHOLOGY BUILDING","1117","169.46","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"144","BIOLOGY-PSYCHOLOGY BUILDING","1241","107.19","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"144","BIOLOGY-PSYCHOLOGY BUILDING","2117","169.46","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"144","BIOLOGY-PSYCHOLOGY BUILDING","2241","107.19","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"144","BIOLOGY-PSYCHOLOGY BUILDING","3117","169.46","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"144","BIOLOGY-PSYCHOLOGY BUILDING","3241","107.19","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"144","BIOLOGY-PSYCHOLOGY BUILDING","4117","169.46","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"144","BIOLOGY-PSYCHOLOGY BUILDING","4241","107.19","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"144","BIOLOGY-PSYCHOLOGY BUILDING","B0123","74.39","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"296","BIOMOLECULAR SCIENCES BUILDING","1108","177.72","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"296","BIOMOLECULAR SCIENCES BUILDING","2108","177.72","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"296","BIOMOLECULAR SCIENCES BUILDING","3108","177.72","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"413","BIOSCIENCE RESEARCH BUILDING","0108","259.42","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"413","BIOSCIENCE RESEARCH BUILDING","0204","158.29","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"413","BIOSCIENCE RESEARCH BUILDING","1204","153.27","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"413","BIOSCIENCE RESEARCH BUILDING","2204","158.52","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"413","BIOSCIENCE RESEARCH BUILDING","3204","158.46","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"159","BOB ""TURTLE"" SMITH STADIUM AT","1103","120.32","030I MENS RESTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"432","BRENDAN IRIBE CENTER","0119","424.64","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"432","BRENDAN IRIBE CENTER","1219","261.09","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"432","BRENDAN IRIBE CENTER","2219","261.09","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"432","BRENDAN IRIBE CENTER","3219","261.09","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"432","BRENDAN IRIBE CENTER","4219","261.09","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"432","BRENDAN IRIBE CENTER","5219","261.09","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"089","C. DANIEL MOTE, JR. ENGINEERIN","1158","159.52","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"089","C. DANIEL MOTE, JR. ENGINEERIN","1182","141.27","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"097","CAMBRIDGE COMMUNITY CENTER","1106","205.5","030I MENS RESTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"097","CAMBRIDGE COMMUNITY CENTER","1211","122.98","030I MENS RESTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"070","CAROLINE HALL","0103","37.43","030I MENS RESTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"070","CAROLINE HALL","0122","158.29","030I MENS RESTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"667","CENTRAL MD OFFICE","1106","110.11","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"098","CENTREVILLE HALL","0200E","96","030I MENS RESTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"090","CHEMICAL & NUCLEAR ENGINEERING","1122","185.02","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"090","CHEMICAL & NUCLEAR ENGINEERING","1122A","70.35","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"090","CHEMICAL & NUCLEAR ENGINEERING","1200","141.58","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"090","CHEMICAL & NUCLEAR ENGINEERING","2128","159.31","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"090","CHEMICAL & NUCLEAR ENGINEERING","2131","95.15","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"090","CHEMICAL & NUCLEAR ENGINEERING","2131A","29.25","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"091","CHEMISTRY BUILDING","0406","163.26","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"091","CHEMISTRY BUILDING","0509","140.03","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"091","CHEMISTRY BUILDING","1202","302.03","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"091","CHEMISTRY BUILDING","1352","211.38","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"091","CHEMISTRY BUILDING","1405","49.08","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"091","CHEMISTRY BUILDING","1509","140.58","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"091","CHEMISTRY BUILDING","2234","267.47","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"091","CHEMISTRY BUILDING","2369","260.79","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"091","CHEMISTRY BUILDING","3202","272.63","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"091","CHEMISTRY BUILDING","3375","253.24","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"091","CHEMISTRY BUILDING","3509","140.58","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"338","CHESAPEAKE BUILDING","1111","38.3","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"338","CHESAPEAKE BUILDING","1111A","200.55","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"338","CHESAPEAKE BUILDING","2111","38.3","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"338","CHESAPEAKE BUILDING","2111A","200.55","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"338","CHESAPEAKE BUILDING","3111","38.3","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"338","CHESAPEAKE BUILDING","3111A","200.55","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"338","CHESAPEAKE BUILDING","4111","38.3","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"338","CHESAPEAKE BUILDING","4111A","200.55","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"059","CHINCOTEAGUE HALL","1108","160.85","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"059","CHINCOTEAGUE HALL","3112","141.96","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"052","CLARENCE M. MITCHELL, JR. BUIL","0121","145.93","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"052","CLARENCE M. MITCHELL, JR. BUIL","1121","143.47","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"052","CLARENCE M. MITCHELL, JR. BUIL","2121","143.47","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"386","CLARICE SMITH PERFORMING ARTS","1216","213.27","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"386","CLARICE SMITH PERFORMING ARTS","1464","339.42","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"386","CLARICE SMITH PERFORMING ARTS","1608","256.34","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"386","CLARICE SMITH PERFORMING ARTS","1709","248.66","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"386","CLARICE SMITH PERFORMING ARTS","1904A","76.43","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"386","CLARICE SMITH PERFORMING ARTS","1904B","87.2","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"386","CLARICE SMITH PERFORMING ARTS","2169","186.83","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"386","CLARICE SMITH PERFORMING ARTS","2302","144.06","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"386","CLARICE SMITH PERFORMING ARTS","2724","199.66","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"386","CLARICE SMITH PERFORMING ARTS","3102","116.88","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"386","CLARICE SMITH PERFORMING ARTS","3733","244.37","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"660","CLARKSVILLE OFFICE","1102","84.06","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"162","COLE STUDENT ACTIVITIES BUILDI","0209","197.54","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"162","COLE STUDENT ACTIVITIES BUILDI","0427","186.83","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"162","COLE STUDENT ACTIVITIES BUILDI","1139","220.5","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"162","COLE STUDENT ACTIVITIES BUILDI","1141","630","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"162","COLE STUDENT ACTIVITIES BUILDI","1412","205.7","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"162","COLE STUDENT ACTIVITIES BUILDI","2414","240.48","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"162","COLE STUDENT ACTIVITIES BUILDI","3101","246.01","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"802","COLLEGE PARK FIRE STATION","1121","95.64","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"406","COMPUTER SCIENCE INSTRUCTIONAL","1105","161.51","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"406","COMPUTER SCIENCE INSTRUCTIONAL","2105","161.51","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"406","COMPUTER SCIENCE INSTRUCTIONAL","3105","161.51","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"406","COMPUTER SCIENCE INSTRUCTIONAL","4105","161.51","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"122","CUMBERLAND HALL","1116","101","030I MENS RESTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"122","CUMBERLAND HALL","1116A","151","030I MENS RESTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"251","DENTON AREA DINING HALL","1109","270.39","030I MENS RESTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"251","DENTON AREA DINING HALL","1136","347.69","030I MENS RESTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"251","DENTON AREA DINING HALL","1136A","37.84","030I MENS RESTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"226","EDWARD ST. JOHN LEARNING AND T","0114","203.79","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"226","EDWARD ST. JOHN LEARNING AND T","0217","232.37","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"226","EDWARD ST. JOHN LEARNING AND T","0319","200.33","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"226","EDWARD ST. JOHN LEARNING AND T","1112","186.75","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"226","EDWARD ST. JOHN LEARNING AND T","1219","393.68","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"226","EDWARD ST. JOHN LEARNING AND T","1307","269.58","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"226","EDWARD ST. JOHN LEARNING AND T","2203","270.09","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"226","EDWARD ST. JOHN LEARNING AND T","2305","267.97","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"254","ELKTON HALL","0100A","82","030I MENS RESTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"257","ELLICOTT AREA DINING HALL","1104","233.74","030I MENS RESTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"257","ELLICOTT AREA DINING HALL","1136","212.22","030I MENS RESTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"256","ELLICOTT HALL","0109","46","030I MENS RESTRM","GENU-BUDGET-AUXILIARY ENTERPRI"
"223","ENERGY RESEARCH FACILITY","0108","44.33","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"223","ENERGY RESEARCH FACILITY","0125","37.92","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"223","ENERGY RESEARCH FACILITY","0217","117.97","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
"223","ENERGY RESEARCH FACILITY","1217","158.63","030I MENS RESTRM","GENU-STATE APPROPRIATIONS"
